municipio,pob_2020,casos_pcr
Adjuntas,"17,363",9
Aguada,"36,694",10
Aguadilla,"50,265",16
Aguas Buenas,"24,814",17
Aibonito,"22,108",8
Añasco,"26,161",9
Arecibo,"81,966",18
Arroyo,"17,238",5
Barceloneta,"23,727",4
Barranquitas,"27,725",11
Bayamón,"169,269",91
Cabo Rojo,"47,515",21
Caguas,"124,606",53
Camuy,"30,504",1
Canóvanas,"44,674",27
Carolina,"146,984",100
Cataño,"23,121",14
Cayey,"42,409",12
Ceiba,"10,904",6
Ciales,"15,808",24
Cidra,"38,307",13
Coamo,"38,336",5
Comerío,"18,648",3
Corozal,"32,293",9
Dorado,"36,141",16
Fajardo,"29,454",4
Florida,"11,317",3
Guánica,"15,383",17
Guayama,"39,465",8
Guayanilla,"17,623",15
Guaynabo,"83,728",101
Gurabo,"47,093",13
Hatillo,"39,218",12
Hormigueros,"15,518",13
Humacao,"50,653",11
Isabela,"40,423",16
Jayuya,"13,891",5
Juana Díaz,"44,679",20
Juncos,"38,155",10
Lajas,"22,010",8
Lares,"24,276",8
Las Marías,"7,927",7
Las Piedras,"37,007",12
Loíza,"24,553",5
Luquillo,"17,665",12
Manatí,"37,287",5
Maricao,"5,430",6
Maunabo,"10,321",3
Mayagüez,"71,530",48
Moca,"34,891",20
Morovis,"30,335",6
Naguabo,"25,761",3
Naranjito,"27,349",2
Orocovis,"20,220",10
Patillas,"16,211",4
Peñuelas,"19,249",8
Ponce,"131,881",57
Quebradillas,"22,918",20
Rincón,"13,656",6
Rio Grande,"48,025",14
Sabana Grande,"21,712",19
Salinas,"27,128",10
San Germán,"30,227",20
San Juan,"318,441",288
San Lorenzo,"35,989",8
San Sebastián,"35,528",26
Santa Isabel,"21,209",2
Toa Alta,"72,025",30
Toa Baja,"74,271",31
Trujillo Alto,"63,674",34
Utuado,"27,395",1
Vega Alta,"36,061",12
Vega Baja,"50,023",9
Villalba,"21,372",14
Yabucoa,"32,282",7
Yauco,"33,575",20
,,20